rank,score,title,namespace,assembly,url
34,211,SelectionFilterElement Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/b0aaf230-e034-8466-c1e4-1d91e7162d19.htm
35,210,ElementIsCurveDrivenFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f4538d9d-e681-d486-f466-0a3de13bf2cc.htm
36,209,FamilyParameterSet Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f2ee1ee9-0605-9353-b83b-57db865119fc.htm
37,209,ParameterDownloadOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7359f11b-4102-15f3-597b-51078e1141bc.htm
38,209,ElementWorksetFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/9fef9119-9ab1-b63a-15a3-804d08228d7e.htm
39,209,FamilyParameterSetIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/c09f03e2-abff-5574-b1b0-1f1c6bad6c46.htm
40,209,CurveElementFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/d31574f5-4400-c4f9-04dd-4418c302e3c5.htm
41,207,FieldDomainPointsByParameter Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/6fbc455e-bb1d-b812-ccb1-c49dbcb15d74.htm
42,207,GlobalParameter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/b0e53a4a-84ad-abb4-358d-9797870f101b.htm
43,206,ViewScheduleExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f0bde7ea-ceab-820d-7c55-b09819f21607.htm
44,206,ElementClassFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/4b7fb6d7-cb9c-d556-56fc-003a0b8a51b7.htm
45,206,DocumentReloadLatestProgressChangedEventArgs Class,Autodesk.Revit.DB.Events,RevitAPI,https://www.revitapidocs.com/2024/dfe6923a-ec47-704d-8e2b-29c2371beef1.htm
46,205,DocumentReloadedLatestEventArgs Class,Autodesk.Revit.DB.Events,RevitAPI,https://www.revitapidocs.com/2024/0e00db2f-a160-8922-e993-346a9040bc5d.htm
47,205,GlobalParametersManager Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f3af05ec-1f0c-fe86-6708-0a211a40bcda.htm
48,205,FamilyElementVisibility Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fae58e2d-817c-77f6-1747-58b0a4e01c7a.htm
49,205,FamilyParameter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6175e974-870e-7fbc-3df7-46105f937a6e.htm
50,205,FamilyLoadedIntoDocumentEventArgs Class,Autodesk.Revit.DB.Events,RevitAPI,https://www.revitapidocs.com/2024/a63d4c02-fc75-445b-edf5-d9068465fb1a.htm
51,205,ElementDesignOptionFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/bde93f54-1852-8a32-aca5-a1c23e607b91.htm
52,205,FamilyLoadingIntoDocumentEventArgs Class,Autodesk.Revit.DB.Events,RevitAPI,https://www.revitapidocs.com/2024/e2dcca36-38d1-8bc9-d9f5-fd52bbd5ba0f.htm
53,204,FilterGlobalParameterAssociationRule Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/058d0d01-ccdd-b231-ee84-400cb041361e.htm
54,204,DocumentReloadingLatestEventArgs Class,Autodesk.Revit.DB.Events,RevitAPI,https://www.revitapidocs.com/2024/0952bb8e-fa8d-382a-ba2b-97bbbc820a99.htm
